id: GO:0000064	name: L-ornithine transmembrane transporter activity
id: GO:0000272	name: polysaccharide catabolic process
id: GO:0001514	name: selenocysteine incorporation
id: GO:0001727	name: lipid kinase activity
id: GO:0002938	name: tRNA guanine ribose methylation
id: GO:0002953	name: 5'-deoxynucleotidase activity
id: GO:0003844	"name: 1,4-alpha-glucan branching enzyme activity"
id: GO:0003867	name: 4-aminobutyrate transaminase activity
id: GO:0003871	name: 5-methyltetrahydropteroyltriglutamate-homocysteine S-methyltransferase activity
id: GO:0003886	name: DNA (cytosine-5-)-methyltransferase activity
id: GO:0003904	name: deoxyribodipyrimidine photo-lyase activity
id: GO:0003913	name: DNA photolyase activity
id: GO:0003941	name: L-serine ammonia-lyase activity
id: GO:0003963	name: RNA-3'-phosphate cyclase activity
id: GO:0003978	name: UDP-glucose 4-epimerase activity
id: GO:0003989	name: acetyl-CoA carboxylase activity
id: GO:0003998	name: acylphosphatase activity
id: GO:0004000	name: adenosine deaminase activity
id: GO:0004020	name: adenylylsulfate kinase activity
id: GO:0004029	name: aldehyde dehydrogenase (NAD+) activity
id: GO:0004075	name: biotin carboxylase activity
id: GO:0004084	name: branched-chain-amino-acid transaminase activity
id: GO:0004096	name: catalase activity
id: GO:0004099	name: chitin deacetylase activity
id: GO:0004125	name: L-seryl-tRNASec selenium transferase activity
id: GO:0004131	name: cytosine deaminase activity
id: GO:0004145	name: diamine N-acetyltransferase activity
id: GO:0004151	name: dihydroorotase activity
id: GO:0004155	"name: 6,7-dihydropteridine reductase activity"
id: GO:0004329	name: formate-tetrahydrofolate ligase activity
id: GO:0004335	name: galactokinase activity
id: GO:0004342	name: glucosamine-6-phosphate deaminase activity
id: GO:0004373	name: glycogen (starch) synthase activity
id: GO:0004427	name: inorganic diphosphatase activity
id: GO:0004451	name: isocitrate lyase activity
id: GO:0004489	name: methylenetetrahydrofolate reductase (NAD(P)H) activity
id: GO:0004558	"name: alpha-1,4-glucosidase activity"
id: GO:0004568	name: chitinase activity
id: GO:0004586	name: ornithine decarboxylase activity
id: GO:0004638	name: phosphoribosylaminoimidazole carboxylase activity
id: GO:0004655	name: porphobilinogen synthase activity
id: GO:0004730	name: pseudouridylate synthase activity
id: GO:0004742	name: dihydrolipoyllysine-residue acetyltransferase activity
id: GO:0004747	name: ribokinase activity
id: GO:0004766	name: spermidine synthase activity
id: GO:0004779	name: sulfate adenylyltransferase activity
id: GO:0004781	name: sulfate adenylyltransferase (ATP) activity
id: GO:0004802	name: transketolase activity
id: GO:0004806	name: triglyceride lipase activity
id: GO:0004833	"name: tryptophan 2,3-dioxygenase activity"
id: GO:0005262	name: calcium channel activity
