id: GO:0000064	name: L-ornithine transmembrane transporter activity
id: GO:0000272	name: polysaccharide catabolic process
id: GO:0000726	name: non-recombinational repair
id: GO:0001514	name: selenocysteine incorporation
id: GO:0001727	name: lipid kinase activity
id: GO:0002938	name: tRNA guanine ribose methylation
id: GO:0003844	name: 1,4-alpha-glucan branching enzyme activity
id: GO:0003867	name: 4-aminobutyrate transaminase activity
id: GO:0003871	name: 5-methyltetrahydropteroyltriglutamate-homocysteine S-methyltransferase activity
id: GO:0003941	name: L-serine ammonia-lyase activity
id: GO:0003978	name: UDP-glucose 4-epimerase activity
id: GO:0003989	name: acetyl-CoA carboxylase activity
id: GO:0003998	name: acylphosphatase activity
id: GO:0004000	name: adenosine deaminase activity
id: GO:0004020	name: adenylylsulfate kinase activity
id: GO:0004029	name: aldehyde dehydrogenase (NAD+) activity
id: GO:0004075	name: biotin carboxylase activity
id: GO:0004084	name: branched-chain-amino-acid transaminase activity
id: GO:0004096	name: catalase activity
id: GO:0004099	name: chitin deacetylase activity
id: GO:0004125	name: L-seryl-tRNASec selenium transferase activity
id: GO:0004131	name: cytosine deaminase activity
id: GO:0004155	name: 6,7-dihydropteridine reductase activity
id: GO:0004329	name: formate-tetrahydrofolate ligase activity
id: GO:0004335	name: galactokinase activity
id: GO:0004342	name: glucosamine-6-phosphate deaminase activity
id: GO:0004373	name: glycogen (starch) synthase activity
id: GO:0004451	name: isocitrate lyase activity
id: GO:0004558	name: alpha-1,4-glucosidase activity
id: GO:0004568	name: chitinase activity
id: GO:0004586	name: ornithine decarboxylase activity
id: GO:0004655	name: porphobilinogen synthase activity
id: GO:0004730	name: pseudouridylate synthase activity
id: GO:0004742	name: dihydrolipoyllysine-residue acetyltransferase activity
id: GO:0004747	name: ribokinase activity
id: GO:0004766	name: spermidine synthase activity
id: GO:0004779	name: sulfate adenylyltransferase activity
id: GO:0004781	name: sulfate adenylyltransferase (ATP) activity
id: GO:0004806	name: triglyceride lipase activity
id: GO:0004833	name: tryptophan 2,3-dioxygenase activity
id: GO:0005262	name: calcium channel activity
id: GO:0005275	name: amine transmembrane transporter activity
id: GO:0005326	name: neurotransmitter transmembrane transporter activity
id: GO:0005372	name: water transmembrane transporter activity
id: GO:0005375	name: copper ion transmembrane transporter activity
id: GO:0005402	name: carbohydrate:cation symporter activity
id: GO:0005469	name: succinate:fumarate antiporter activity
id: GO:0005534	name: galactose binding
id: GO:0005615	name: extracellular space
id: GO:0006030	name: chitin metabolic process
id: GO:0006032	name: chitin catabolic process
id: GO:0006044	name: N-acetylglucosamine metabolic process
id: GO:0006106	name: fumarate metabolic process
id: GO:0006148	name: inosine catabolic process
